约翰逊,余秀华,辞职,女大学生,家暴,南京,被家暴,英国首相,死刑,侵权,洪峤,一审,马斯克,被判,宣判,七七事变,妇联,英国,双胞胎,刘翔,局长,被告人,冰淇淋,被害案,女高管,新东方,遇害案,生下,洪某,印度,85周年,茅台,我不是药神,4岁男童,被压,驾车,判罚,炒至,鲍里斯,身亡,搜查,留任,男友,获赔,突击,曹泽青,张晨光
0.0,0.0030597,0.0,0.7574565,0.0,0.7561892,0.0,0.0,0.6521416,0.0,0.677864,0.7205615,0.0,0.3879353,0.751048,0.0043554,0.0,0.0,0.0,0.0,0.0,0.6699333,0.0,0.9953052,0.0,0.0,0.1725352,0.0,0.2116217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051252,0.0,0.0,0.0048855,0.0,0.0,0.3564243,0.0,0.0,0.5470885,0.5506521
0.0,0.0,0.0,0.0,0.0,0.003188,0.0,0.0,0.0,0.0033199,0.0,0.0,0.9864485,0.0,0.0,0.0,0.0,0.0,0.8997351,0.0,0.0,0.0,0.0,0.0,0.996063,0.0,0.0,0.9901806,0.0,0.0045727,0.0,0.0,0.004327,0.0,0.0,0.0,0.0047463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6908259,0.0,0.1826383,0.0,0.0048417,0.0,0.0,0.0,0.0,0.0,0.9875386,0.0,0.0,0.0,0.0,0.0,0.9937888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9437567,0.0,0.0,0.0
0.0,0.0029052,0.0,0.7759933,0.0033558,0.7746363,0.0,0.0,0.7355109,0.0,0.330941,0.3309613,0.0,0.8526133,0.35401,0.0,0.0,0.0,0.0,0.0,0.0,0.2446364,0.0,0.1725352,0.0,0.0,0.995614,0.0,0.9478978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049708,0.0,0.0,0.0189242,0.0,0.0,0.2573398,0.0,0.0,0.290292,0.2889376
0.0,0.002673,0.0,0.0,0.0031236,0.0031803,0.0032595,0.0,0.0,0.0033121,0.0,0.0,0.9844954,0.0,0.0,0.0,0.0039216,0.0,0.8981217,0.0,0.0,0.0,0.0,0.0,0.9901806,0.0,0.0,0.9960784,0.0,0.004565,0.0,0.0,0.0043193,0.0,0.0,0.0,0.0047386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0028674,0.0,0.7809331,0.003318,0.7795521,0.0,0.0,0.7387754,0.0,0.309054,0.3431709,0.0,0.8599737,0.3685345,0.0,0.0,0.0,0.0,0.0,0.0,0.2376921,0.0,0.2116217,0.0,0.0,0.9478978,0.0,0.9956897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004933,0.0,0.0,0.018773,0.0,0.0,0.3000528,0.0,0.0,0.2648932,0.2695083
0.0033699,0.0,0.003497,0.0,0.0,0.0,0.0,0.0042598,0.0,0.1186655,0.0,0.0817921,0.0045347,0.0,0.0,0.0,0.0,0.0,0.0049406,0.0,0.0,0.0,0.0,0.0,0.0045727,0.0,0.0,0.004565,0.0,0.9947917,0.0,0.0,0.1488797,0.0,0.0,0.0,0.1560764,0.0,0.0055111,0.0,0.8362873,0.0,0.0,0.0,0.9109375,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8202068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068178,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0036585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9071995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995122,0.0,0.0,0.0,0.0,0.0,0.8920545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7827766,0.0,0.0893018,0.004289,0.0163784,0.0,0.0,0.0,0.0,0.0046949,0.0,0.0,0.0,0.0,0.0,0.004327,0.0,0.0,0.0043193,0.0,0.1488797,0.0,0.0,0.995283,0.0,0.0,0.0,0.9091195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
