约翰逊,辞职,南京,余秀华,家暴,英国,死刑,英国首相,女大学生,宣判,侵权,一审,冰淇淋,马斯克,被判,被告人,印度,美国,局长,洪峤,茅台,江西,生下,驾车,身亡,被家暴,双胞胎,新东方,男友,被害案,被压,爆发,职务,辞去,七七事变,杀人,洪某,起诉,法院,判罚,我不是药神,遇害案,85周年,4岁男童,妇联,女高管
0.0,0.0030668,0.0,0.0,0.0,0.0,0.0036402,0.0,0.0,0.0,0.0035253,0.0,0.0,0.0,0.0,0.0,0.0,0.0097497,0.9828317,0.0,0.0,0.9891587,0.0,0.9956522,0.899989,0.0,0.0,0.0,0.0,0.0,0.9912853,0.0054419,0.0327994,0.0,0.0,0.0063756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934688,0.0,0.0
0.0,0.0034309,0.0187879,0.0032503,0.0,0.0,0.0200217,0.0,0.0188178,0.0047702,0.0038894,0.0042388,0.0,0.0,0.0170967,0.0,0.0,0.0101138,0.8928912,0.0208475,0.0,0.8981915,0.0,0.899989,0.9949239,0.0,0.0,0.0,0.0,0.0048855,0.8989002,0.005806,0.0276961,0.0,0.0,0.0067398,0.018773,0.0,0.0,0.0,0.0,0.0189242,0.0,0.9018021,0.0,0.0
0.0,0.0,0.0,0.7339975,0.3569163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034632,0.0032595,0.0,0.0,0.9974026,0.0,0.0,0.1739023,0.0,0.0,0.0045667,0.0,0.0,0.0,0.0055004,0.0,0.0132129,0.0,0.0,0.0,0.0,0.0,0.0,0.7073084,0.0
0.0,0.0,0.003556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036878,0.0,0.0,0.9088605,0.0,0.0,0.0049406,0.0297366,0.0,0.0,0.0,0.0,0.8981217,0.0,0.0,0.0,0.9953271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051142,0.0046949,0.0,0.0,0.0,0.0,0.8997351
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6908259,0.1826383,0.0,0.0,0.0048417,0.0,0.0,0.277715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9503106,0.1438276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4204994,0.222135,0.1780019,0.0,0.3991462,0.0,0.4210434,0.4732143,0.0,0.4336735,0.0,0.0,0.4007228,0.2308827,0.0,0.0,0.0,0.2733821,0.0,0.0,0.0,0.0,0.0,0.1739023,0.0,0.0,0.9931973,0.3564243,0.0,0.0066693,0.0,0.0,0.0,0.1216487,0.3000528,0.006507,0.3539541,0.0061791,0.0,0.2573398,0.0,0.0,0.1823129,0.0
0.0,0.0,0.7561892,0.0030597,0.0,0.0,0.6521416,0.0,0.7574565,0.751048,0.0,0.7205615,0.0,0.0,0.3879353,0.6699333,0.0,0.0,0.0,0.677864,0.0,0.0,0.0,0.0,0.0048855,0.0,0.0,0.0,0.3564243,0.9953052,0.0,0.0,0.0,0.0,0.0043554,0.6156153,0.2116217,0.005453,0.2111628,0.0051252,0.0,0.1725352,0.0,0.0,0.0,0.0
0.0,0.0030858,0.0,0.0,0.0,0.0,0.0036593,0.0,0.0,0.0,0.0035443,0.0,0.0,0.0,0.0,0.0,0.0,0.0097687,0.9828498,0.0,0.0,0.989149,0.0,0.9912853,0.8989002,0.0,0.0,0.0,0.0,0.0,0.995614,0.005461,0.0328947,0.0,0.0,0.0063947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934402,0.0,0.0
0.0927744,0.0998599,0.0,0.0039802,0.0044308,0.0883236,0.0,0.0640068,0.0,0.0,0.0046193,0.0,0.0,0.0,0.0,0.0,0.0,0.0216875,0.0054047,0.0,0.0,0.0054325,0.0,0.0054419,0.005806,0.0045667,0.0,0.0,0.0066693,0.0,0.005461,0.9934641,0.0459236,0.0484233,0.6225687,0.0,0.0,0.0,0.0,0.0060458,0.0056265,0.0,0.3812636,0.0054514,0.0052288,0.0
0.5512278,0.4856516,0.0,0.0,0.0,0.3319109,0.0,0.6162426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239234,0.0326136,0.0,0.0,0.0327523,0.0,0.0327994,0.0276961,0.0,0.0,0.0,0.0,0.0,0.0328947,0.0459236,0.9912281,0.8598092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328469,0.0,0.0
0.6004851,0.5360141,0.0,0.0,0.0,0.3600151,0.0,0.6896843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062538,0.0336762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484233,0.8598092,0.9927007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0032275,0.0,0.0,0.0,0.0,0.0,0.0032335,0.0,0.0,0.0037087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043554,0.0,0.6225687,0.0,0.0,0.9959839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8202068,0.0,0.0,0.0
0.0,0.0,0.6125948,0.0049139,0.0053645,0.0,0.5611277,0.0,0.6132703,0.6498162,0.0,0.6138455,0.0,0.0,0.3265785,0.7213729,0.0,0.0,0.0063384,0.7288006,0.0,0.0063662,0.0,0.0063756,0.0067398,0.0055004,0.0,0.0,0.1216487,0.6156153,0.0063947,0.0,0.0,0.0,0.0,0.9915966,0.1907056,0.0073073,0.0693277,0.0069795,0.0,0.1982346,0.0,0.0063851,0.0061625,0.0
0.0,0.0,0.7795521,0.0028674,0.003318,0.0,0.7387754,0.0,0.7809331,0.3685345,0.0,0.3431709,0.0,0.0,0.8599737,0.2376921,0.0,0.0,0.0,0.309054,0.0,0.0,0.0,0.0,0.018773,0.0,0.0,0.0,0.3000528,0.2116217,0.0,0.0,0.0,0.0,0.0,0.1907056,0.9956897,0.0,0.2383005,0.004933,0.0,0.9478978,0.0,0.0,0.0,0.0
0.0,0.0,0.0043251,0.0114535,0.0170735,0.0,0.0045719,0.0,0.0043311,0.0053377,0.681912,0.1634132,0.0,0.0,0.0096834,0.0061176,0.0057098,0.245671,0.0,0.0057794,0.0,0.0052701,0.0,0.0,0.0,0.0132129,0.0,0.9503106,0.006507,0.005453,0.0,0.0,0.0,0.0,0.0,0.0073073,0.0,0.9937888,0.1362578,0.0117667,0.0054641,0.0,0.0,0.0,0.0151991,0.0
0.0,0.0,0.3523955,0.0051765,0.0,0.0,0.3617642,0.0,0.3527661,0.3883929,0.2384411,0.5301871,0.0,0.0,0.3782242,0.269148,0.155506,0.0361201,0.0,0.2498329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438276,0.3539541,0.2111628,0.0,0.0,0.0,0.0,0.0,0.0693277,0.2383005,0.1362578,0.9910714,0.1738095,0.1637466,0.2463189,0.0,0.0,0.0,0.0
0.0,0.0,0.0079946,0.0,0.0,0.0,0.0084881,0.0,0.0080065,0.0050099,0.7308559,0.0985261,0.0,0.0047083,0.0270833,0.0057898,0.1560764,0.0,0.0,0.0054516,0.0,0.0,0.0047386,0.0,0.0,0.0,0.0051142,0.0,0.0061791,0.0051252,0.0,0.0060458,0.0,0.0,0.0,0.0069795,0.004933,0.0117667,0.1738095,0.9944444,0.9091195,0.0049708,0.0,0.0,0.0,0.0047463
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7827766,0.0893018,0.0,0.004289,0.0163784,0.0,0.1488797,0.0,0.0,0.0,0.0,0.0,0.0043193,0.0,0.0,0.0,0.0046949,0.0,0.0,0.0,0.0,0.0056265,0.0,0.0,0.0,0.0,0.0,0.0054641,0.1637466,0.9091195,0.995283,0.0,0.0,0.0,0.0,0.004327
0.0,0.0,0.7746363,0.0029052,0.0033558,0.0,0.7355109,0.0,0.7759933,0.35401,0.0,0.3309613,0.0,0.0,0.8526133,0.2446364,0.0,0.0,0.0,0.330941,0.0,0.0,0.0,0.0,0.0189242,0.0,0.0,0.0,0.2573398,0.1725352,0.0,0.0,0.0,0.0,0.0,0.1982346,0.9478978,0.0,0.2463189,0.0049708,0.0,0.995614,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3812636,0.0,0.0,0.8202068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938272,0.0,0.0,0.0
0.0,0.0030763,0.0,0.0,0.0,0.0,0.0036497,0.0,0.0,0.0,0.0035348,0.0,0.0,0.0,0.0,0.0,0.0,0.0097592,0.9849961,0.0,0.0,0.9913231,0.0,0.9934688,0.9018021,0.0,0.0,0.0,0.0,0.0,0.9934402,0.0054514,0.0328469,0.0,0.0,0.0063851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956332,0.0,0.0
0.0,0.0,0.0,0.6575666,0.331099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039216,0.0,0.0,0.7073084,0.0,0.0,0.1823129,0.0,0.0,0.0052288,0.0,0.0,0.0,0.0061625,0.0,0.0151991,0.0,0.0,0.0,0.0,0.0,0.0,0.9960784,0.0
0.0,0.0,0.003188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033199,0.0,0.0,0.9864485,0.0,0.0,0.0045727,0.0286328,0.0,0.0,0.0,0.0,0.9901806,0.0,0.0,0.0,0.8997351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047463,0.004327,0.0,0.0,0.0,0.0,0.996063
