孩子,统一,超生,唐山,茅台,全州,南京,警方,招聘,失去,周杰伦,子女,开启,预约,宣判,广西,市政府,北京,社会调剂,最伟大的作品,实验室,迪士尼,调剂,抱走,版权,一审,医学,检验,米老鼠,形象,全县,女大学生,扎伤,被害案,上报
0.7730523,0.8246235,0.7289178,0.0254172,0.0,0.7424965,0.0034176,0.0198933,0.0,0.0,0.0,0.236387,0.0,0.0,0.0037215,0.2774892,0.1856704,0.0135301,0.9972299,0.0,0.0048815,0.0,0.3035423,0.3273315,0.0,0.0034597,0.0049311,0.0050082,0.0,0.0,0.69432,0.0034771,0.0074871,0.0034771,0.1831812
0.0031461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9356691,0.0,0.9528514,0.8706531,0.0,0.0,0.0,0.0,0.0,0.9953052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0042952,0.0046566,0.0041475,0.0052886,0.0,0.0042329,0.0,0.027135,0.0,0.0061007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907146,0.0048815,0.0,0.993007,0.0,0.0,0.0,0.0,0.0,0.957794,0.9682781,0.0,0.0,0.0,0.0,0.005855,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056891,0.0,0.0,0.0,0.9948718,0.0,0.0,0.8931891,0.0,0.0,0.0,0.9793798,0.7252591,0.0,0.0,0.0,0.0,0.0
0.6830058,0.2757525,0.6782873,0.0070089,0.0,0.5068821,0.0,0.0182142,0.0,0.0043165,0.0,0.184393,0.0,0.0,0.0,0.4429858,0.1675702,0.0048373,0.3035423,0.0,0.0,0.0,0.9965753,0.3023146,0.0,0.0,0.0,0.0,0.0,0.0,0.1290626,0.0,0.0040708,0.0,0.1609456
0.4001552,0.2596874,0.7244747,0.0064578,0.0,0.6975839,0.0,0.0168364,0.0,0.0,0.0,0.8457414,0.0,0.0,0.0,0.2851213,0.7711079,0.0,0.3273315,0.0,0.0,0.0,0.3023146,0.9971264,0.0,0.0,0.0,0.0,0.0,0.0,0.2177147,0.0,0.0,0.0,0.8658706
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9052083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.8931891,0.0,0.0,0.99375,0.0,0.0,0.0,0.9016198,0.7008644,0.0,0.0,0.0,0.0,0.0
0.0057468,0.0032348,0.0027257,0.0116004,0.0,0.0028111,0.9734086,0.0120156,0.0,0.0,0.0,0.0076829,0.0,0.0,0.9395723,0.0,0.0,0.0051997,0.0034597,0.0,0.0,0.0,0.0,0.0,0.0,0.9958506,0.0,0.0,0.0,0.0,0.0,0.9875171,0.0,0.9833504,0.0
0.0043448,0.0047062,0.0041971,0.0160146,0.0,0.0042825,0.0,0.0383362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9139406,0.0049311,0.0,0.957794,0.0,0.0,0.0,0.0,0.0,0.9929078,0.9821924,0.0,0.0,0.0,0.0,0.0177138,0.0,0.0
0.0044219,0.0047833,0.0042742,0.0054153,0.0,0.0043596,0.0,0.0277685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9245018,0.0050082,0.0,0.9682781,0.0,0.0,0.0,0.0,0.0,0.9821924,0.9927536,0.0,0.0,0.0,0.0,0.0059817,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057428,0.0,0.0,0.0,0.9793798,0.0,0.0,0.9016198,0.0,0.0,0.0,0.9947644,0.7301994,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084441,0.0,0.0,0.0,0.7252591,0.0,0.0,0.7008644,0.0,0.0,0.0,0.7301994,0.9893617,0.0,0.0,0.0,0.0,0.0
0.6564399,0.7330479,0.6297105,0.0,0.0,0.6310968,0.0,0.0,0.0,0.0,0.0,0.1855817,0.0,0.0,0.0,0.2382898,0.1489704,0.0,0.69432,0.0,0.0,0.0,0.1290626,0.2177147,0.0,0.0,0.0,0.0,0.0,0.0,0.995098,0.0,0.0,0.0,0.1406882
0.0057815,0.0032521,0.0027431,0.0116525,0.0,0.0028284,0.9816478,0.0120677,0.0,0.0,0.0,0.0077177,0.0,0.0,0.9344132,0.0,0.0,0.0,0.0034771,0.0,0.0,0.0,0.0,0.0,0.0,0.9875171,0.0,0.0,0.0,0.0,0.0,0.9958159,0.0,0.9916318,0.0
0.0094716,0.0070372,0.0060191,0.8716271,0.0,0.0061897,0.0,0.8963994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046733,0.0,0.0054835,0.0074871,0.0,0.005855,0.0,0.0040708,0.0,0.0,0.0,0.0177138,0.0059817,0.0,0.0,0.0,0.0,0.995283,0.0044505,0.0
0.0057815,0.0032521,0.0027431,0.0155367,0.0,0.0028284,0.9775232,0.0160902,0.0,0.0,0.0,0.0077177,0.0,0.0,0.9299847,0.0,0.0,0.0,0.0034771,0.0,0.0,0.0,0.0,0.0,0.0,0.9833504,0.0,0.0,0.0,0.0,0.0,0.9916318,0.0044505,0.9958159,0.0
0.244238,0.1801258,0.6647211,0.0037376,0.0,0.686567,0.0,0.003876,0.0,0.0,0.0,0.9503513,0.0,0.0,0.0,0.1533722,0.8837342,0.0,0.1831812,0.0,0.0,0.0,0.1609456,0.8658706,0.0,0.0,0.0,0.0,0.0,0.0,0.1406882,0.0,0.0,0.0,0.9961089
