下架,用户,删除,武汉大学,谭谈交通,电视台,霍乱病例,总统,宣布,一例,WPS,本地文件,德国,全面,广播,目标,节目,取消,霍乱,检测,传播,斯里兰卡,维权,环保,谭乔,武汉,总理,敏感,爆料,核实
0.0,0.9772069,0.980337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966216,0.9382099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361486,0.028979,0.0,0.0077868,0.0,0.0,0.0,0.0,0.6247761,0.599359,0.5813063
0.0,0.941182,0.9475348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9382099,0.9963768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3423913,0.0368357,0.0,0.0079092,0.0,0.0,0.0,0.0,0.6346909,0.6084169,0.5782609
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085313,0.0,0.0,0.0,0.9883721,0.0190353,0.0,0.9302326,0.0,0.9767442,0.0,0.0,0.0,0.0,0.0,0.7452431,0.0,0.0,0.0124806,0.0,0.0,0.0
0.5599567,0.0,0.0,0.0135227,0.5811104,0.1017757,0.0140523,0.0065773,0.0064211,0.0054643,0.0,0.0,0.0190353,0.9925926,0.0458123,0.0190353,0.1077812,0.0190353,0.0062678,0.0086057,0.0462963,0.0,0.1078139,0.0255892,0.4524164,0.0108466,0.0207407,0.0,0.010114,0.0
0.6041667,0.0044643,0.0,0.0,0.6625655,0.8967025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0458123,0.9943182,0.0,0.3936874,0.0,0.0,0.0,0.1427399,0.0,0.3307234,0.0,0.2002494,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086875,0.0085313,0.0,0.0,0.0,0.9302326,0.0190353,0.0,0.9883721,0.0,0.9186047,0.0,0.0,0.0,0.0,0.0,0.7452431,0.0,0.0,0.0124806,0.0,0.0,0.0
0.5556019,0.0,0.0,0.0,0.5587659,0.4259562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1077812,0.3936874,0.0,0.9908257,0.0,0.0,0.0,0.1318552,0.0,0.3312262,0.0,0.3817968,0.02346,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085313,0.0,0.0,0.0,0.9767442,0.0190353,0.0,0.9186047,0.0,0.9883721,0.0,0.0,0.0,0.0,0.0,0.7452431,0.0,0.0,0.0124806,0.0,0.0122242,0.0
0.0,0.0,0.0,0.6264408,0.0070186,0.0,0.5848416,0.0,0.0,0.4497653,0.0,0.0,0.0,0.0062678,0.0,0.0,0.0,0.0,0.9948718,0.2911765,0.3166667,0.0,0.0,0.0,0.0,0.3494505,0.0,0.0,0.0,0.0
0.0,0.3327922,0.3333333,0.2738793,0.0058471,0.0,0.2647059,0.0,0.0,0.2132008,0.3361486,0.3423913,0.0,0.0086057,0.0,0.0,0.0,0.0,0.2911765,0.9901961,0.0732026,0.0,0.0,0.0,0.0,0.2288515,0.0,0.5463029,0.5656109,0.4764706
0.238961,0.0287157,0.0359477,0.2480171,0.2405272,0.1410959,0.1895425,0.0084291,0.0,0.1170579,0.028979,0.0368357,0.0,0.0462963,0.1427399,0.0,0.1318552,0.0,0.3166667,0.0732026,0.9888889,0.0,0.2214092,0.0,0.1892954,0.0634921,0.0,0.0115797,0.0119658,0.0138889
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9567803,0.9420709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942197,0.0,0.0,0.0,0.0,0.6880925,0.0,0.0,0.0
0.5241263,0.0077209,0.0077315,0.0,0.5352483,0.5363626,0.0,0.0,0.0,0.0,0.0077868,0.0079092,0.0,0.1078139,0.3307234,0.0,0.3312262,0.0,0.0,0.0,0.2214092,0.0,0.9878049,0.0151885,0.3109756,0.0132404,0.0,0.0,0.0125078,0.0
0.0203463,0.0,0.0,0.0,0.0200722,0.011374,0.0,0.0,0.0118083,0.0,0.0,0.0,0.7452431,0.0255892,0.0,0.7452431,0.0,0.7452431,0.0,0.0,0.0,0.0,0.0151885,0.9818182,0.0,0.0162338,0.0157576,0.0,0.0,0.0
0.6237858,0.0,0.0,0.0,0.6430276,0.2292711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4524164,0.2002494,0.0,0.3817968,0.0,0.0,0.0,0.1892954,0.0,0.3109756,0.0,0.9939024,0.0203833,0.0,0.0,0.009459,0.0
0.0164502,0.0,0.0,0.5085898,0.0161761,0.009426,0.519888,0.0,0.0,0.2225855,0.0,0.0,0.0,0.0108466,0.0,0.0,0.02346,0.0,0.3494505,0.2288515,0.0634921,0.0,0.0132404,0.0162338,0.0203833,0.9857143,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964368,0.6850362,0.0,0.0,0.0,0.0124806,0.0207407,0.0,0.0124806,0.0,0.0124806,0.0,0.0,0.0,0.6880925,0.0,0.0157576,0.0,0.0,0.9866667,0.0,0.0,0.0
0.0,0.6194453,0.6203047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6247761,0.6346909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5463029,0.0115797,0.0,0.0,0.0,0.0,0.0,0.0,0.9879518,0.8952734,0.7609438
0.0074925,0.5944888,0.595274,0.0,0.0073554,0.0086934,0.0,0.0,0.0,0.0,0.599359,0.6084169,0.0,0.010114,0.0,0.0,0.0,0.0122242,0.0,0.5656109,0.0119658,0.0,0.0125078,0.0,0.009459,0.0,0.0,0.8952734,0.9871795,0.7666667
0.0,0.5774892,0.5781046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813063,0.5782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4764706,0.0138889,0.0,0.0,0.0,0.0,0.0,0.0,0.7609438,0.7666667,0.9833333
