周杰伦,华为,最伟大的作品,涉嫌,破产,违法犯罪,街道,云南,致歉,孩子,印度,清算,新专辑,陈春花,苏宁,企业,先行曲,易购,传言,立案,经营,罗崇敏,失去,教育厅,盖章,教授,厅长,调剂,转绿码,维护,法律责任,业务,形象,新歌,冰淇淋,核酸,音乐
0.7053213,0.0,0.5244041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9939759,0.0,0.0,0.0,0.2755207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2149312,0.0,0.0,0.2472289
0.0,0.9832992,0.0,0.0046651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952153,0.0,0.1208585,0.0,0.0,0.91755,0.0,0.0084164,0.0,0.0,0.0,0.0,0.6252484,0.0,0.0,0.0,0.0,0.0105891,0.009855,0.038427,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9556735,0.0,0.0,0.0,0.0,0.0,0.0,0.9217203,0.0,0.0,0.9945055,0.4403898,0.0,0.9696373,0.0110194,0.0,0.6666225,0.0,0.0,0.0,0.0161783,0.0,0.0,0.0,0.0,0.5471195,0.6019186,0.6432262,0.0,0.0,0.0,0.0,0.0
0.0,0.1277628,0.0,0.0,0.4440322,0.0,0.0,0.0,0.0,0.0,0.2137736,0.4604007,0.0,0.1208585,0.4403898,0.990566,0.0,0.4488221,0.1047118,0.0,0.6229825,0.0,0.051994,0.0,0.0,0.0744557,0.0,0.0,0.0,0.7006861,0.6844262,0.6333427,0.0,0.0,0.0,0.0,0.0
0.6577402,0.0,0.6454508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2755207,0.0,0.0,0.0,0.9922481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142926,0.2816999,0.0,0.0,0.2636434
0.0,0.0,0.0,0.0,0.9745567,0.0,0.0,0.0,0.0,0.0,0.0,0.9443017,0.0,0.0,0.9696373,0.4488221,0.0,0.9942197,0.0113052,0.0,0.6774845,0.0,0.0,0.0,0.016607,0.0,0.0,0.0,0.0,0.5546943,0.6097792,0.6522302,0.0,0.0,0.0,0.0,0.0
0.0,0.9155222,0.0,0.0050352,0.0111428,0.0,0.0,0.0,0.0,0.0,0.0,0.0116977,0.0,0.91755,0.0110194,0.1047118,0.0,0.0113052,0.9944751,0.0,0.0175731,0.0,0.0,0.0,0.0,0.5750106,0.0,0.0,0.0,0.0103382,0.0109592,0.0204502,0.0395373,0.0,0.0,0.0,0.0
0.0053949,0.0,0.0,0.0128099,0.0,0.0,0.0,0.0,0.0,0.7222829,0.0091322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917355,0.0,0.0,0.009814,0.0,0.0,0.0,0.0,0.8016314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.008405,0.0,0.0,0.6713145,0.0,0.0,0.0,0.0,0.0,0.0440964,0.6923992,0.0,0.0084164,0.6666225,0.6229825,0.0,0.6774845,0.0175731,0.0,0.9879518,0.0,0.0,0.0,0.0086696,0.0137164,0.0,0.0,0.0,0.7751917,0.782145,0.809207,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.958782,0.0,0.9333223,0.0,0.978558,0.0,0.008628,0.0,0.0055136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951456,0.0,0.9902913,0.0,0.0101195,0.9855302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
