斯里兰卡,宣布,苹果,发射,卫星,终止,总统,总监,总理,轨道,北京,实施,地球,紧急状态,顺利,京东,快递,用户,被骗,预定,删除,美国,发布,天链,总部,祝贺,运载火箭,营销,合同,载人,拉贾帕克萨,关闭,禁止,抗议者,办公室,中继,大学,微信,审核
0.8596993,0.8344214,0.0,0.0105873,0.0129361,0.0,0.5021287,0.0050435,0.5186342,0.0,0.0,0.4223637,0.0,0.9952607,0.007578,0.0,0.0,0.0074202,0.0,0.0,0.0,0.1086929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4904183,0.013008,0.0,0.553462,0.494399,0.0,0.0,0.0216004,0.0
0.0069325,0.006909,0.0,0.7563048,0.8655225,0.0,0.0094456,0.0,0.0,0.9149306,0.1011029,0.0,0.826875,0.007578,0.9895833,0.0,0.0,0.0,0.0125613,0.9738487,0.0,0.0183662,0.0,0.7596545,0.0,0.7495155,0.9189544,0.0,0.0,0.8736592,0.0124547,0.0,0.0,0.0,0.0,0.8653924,0.0187218,0.0,0.0
0.0,0.0,0.0083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847549,0.0,0.0,0.0,0.0,0.9875,0.9621711,0.0,0.0,0.0,0.0,0.0,0.0129167,0.0,0.955763,0.0,0.0,0.0241071,0.0,0.0,0.0,0.0168883,0.0,0.0,0.0176136,0.0,0.0,0.0509615,0.015684
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8610681,0.0,0.0,0.0,0.0,0.9621711,0.9868421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980434,0.0,0.0,0.0,0.0,0.0,0.0,0.0172172,0.0,0.0,0.0179426,0.0,0.0,0.0,0.0
0.0067746,0.0135024,0.0142677,0.0,0.0,0.0073028,0.0,0.0077243,0.0,0.0,0.0,0.0,0.0,0.0074202,0.0,0.0,0.0,0.989899,0.0,0.0,0.910091,0.0182084,0.1288889,0.0,0.0,0.0,0.0,0.0229076,0.0,0.0,0.0,0.5804857,0.1954545,0.0,0.0,0.0,0.0,0.0728438,0.7242234
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122549,0.0,0.0,0.0,0.0125613,0.0,0.0,0.0,0.9852941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7094595,0.0,0.0
0.0,0.0,0.0,0.7695906,0.8799827,0.0,0.0,0.0,0.0,0.929922,0.0914861,0.0,0.8415789,0.0,0.9738487,0.0,0.0,0.0,0.0,0.9894737,0.0,0.0,0.0,0.7730103,0.0,0.7532436,0.9339892,0.0,0.0,0.8783742,0.0,0.0,0.0,0.0,0.0,0.8802248,0.0,0.0,0.0
0.0,0.0066512,0.0070338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.910091,0.0,0.0,0.990099,0.0,0.1045545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6703181,0.1729373,0.0,0.0,0.0,0.0,0.0241813,0.7336073
0.1339383,0.1188686,0.0152412,0.0,0.0,0.0154101,0.1391615,0.0158317,0.0177033,0.0,0.0180599,0.0776316,0.0181579,0.1086929,0.0183662,0.0,0.0,0.0182084,0.0,0.0,0.0,0.9736842,0.0396491,0.0,0.0,0.0,0.0,0.0,0.0210944,0.0,0.0612128,0.0237962,0.0,0.050706,0.0245215,0.0,0.0,0.0,0.0
0.0083908,0.0083673,0.06125,0.0,0.010765,0.0267568,0.010904,0.0373619,0.0112121,0.0,0.0,0.0258333,0.0116667,0.0,0.0,0.0129167,0.0,0.1288889,0.0,0.0,0.1045545,0.0396491,0.9866667,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.017305,0.49,0.0,0.0180303,0.0,0.0,0.5438462,0.0644025
