日本,安倍,安倍晋三,警方,枪击,生命,前首相,嫌疑人,身亡,鱼吐人言,画面,中枪,身体,演讲时,倒地,遭遇,体征,奈良,乡镇,山上,奈良市,东京,奈良县,伤势,胸部,心肺,疫苗,嫌犯,遇刺,演讲,逮捕,精准,枪支,日本首相,脊椎动物,街头,自制,安保,击中,抢救,执政,袭击,日本广播协会,开枪,子弹,霰弹枪,疑似,田文雄,公安部,闭环,流血,新闻报道,枪声,遭受,自卫队,政坛,林平之,遇袭,救护车,遗体,枪响,不明,狐妖小红娘月红篇,枪击案,岳灵珊,日本共同社,莱恩,富士,先进,监护室,右翼,何欣蕾,单曲,动机,实验,重症,自民党,可控,供述,米处,增程式,二战,小燕子,风光,刺杀,保镖,玄色,凶手,悲伤,不治,头骨,中日关系,软骨,哀悼,嫌疑,警备,日元,葬礼,被捕,同情
0.3848089,0.4448622,0.4285714,0.0607143,0.227591,0.2827381,0.4032468,0.1240602,0.1753247,0.0,0.9285714,0.3928571,0.0,0.2647783,0.3101504,0.0,0.2605042,0.0,0.0,0.1380952,0.1860902,0.0857143,0.0,0.0811688,0.2225275,0.2071429,0.0,0.0857143,0.0741758,0.077381,0.2321429,0.0,0.0,0.0,0.0,0.0857143,0.0,0.0,0.2321429,0.0857143,0.0,0.0,0.0741758,0.0857143,0.0,0.0,0.1071429,0.0,0.0,0.0,0.0912698,0.0857143,0.2738095,0.0,0.0,0.0912698,0.0,0.2142857,0.0912698,0.1071429,0.1071429,0.0,0.0,0.1071429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1190476,0.0,0.0,0.0,0.0,0.0,0.2142857,0.1607143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4172535,0.4276316,0.4875,0.2625,0.2169118,0.1666667,0.2863636,0.0,0.1704545,0.0,0.3928571,0.875,0.0,0.3189655,0.3552632,0.0,0.1838235,0.0,0.0,0.0958333,0.1776316,0.1125,0.0,0.1079545,0.2019231,0.2875,0.0,0.1125,0.0,0.2083333,0.1041667,0.0,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.2361111,0.0,0.0,0.0,0.0,0.0,0.0,0.1339286,0.2678571,0.0,0.0,0.1339286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2678571,0.0,0.1180556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0
0.0784708,0.0802005,0.0785714,0.0964286,0.0812325,0.0922619,0.0805195,0.0,0.0,0.0,0.0,0.0,0.8571429,0.0,0.0977444,0.0,0.0,0.0,0.2380952,0.1047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1214286,0.1098901,0.0,0.1130952,0.0,0.1269841,0.0,0.2380952,0.0,0.1428571,0.0,0.0,0.1214286,0.0,0.0,0.0,0.1214286,0.1714286,0.1547619,0.0,0.0,0.0,0.0,0.0,0.0,0.1269841,0.0,0.1428571,0.0,0.0,0.0,0.0,0.0,0.0,0.1964286,0.0,0.1428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952,0.0,0.3214286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6313745,0.5983061,0.6827586,0.3801724,0.4597701,0.4188218,0.6319749,0.3920145,0.1598746,0.0,0.2647783,0.3189655,0.0,0.9655172,0.3484574,0.2356322,0.4665314,0.354023,0.0,0.3034483,0.6533575,0.2017241,0.317734,0.0626959,0.5013263,0.3034483,0.0,0.2689655,0.1671088,0.1767241,0.2945402,0.0,0.3639847,0.1594828,0.0,0.2689655,0.2660099,0.2011494,0.4712644,0.3362069,0.3017241,0.2660099,0.5013263,0.2689655,0.2344828,0.2011494,0.3546798,0.1773399,0.1005747,0.0,0.4367816,0.2689655,0.2911877,0.1172414,0.1773399,0.1455939,0.0,0.2660099,0.3639847,0.1773399,0.2660099,0.2844828,0.0,0.1773399,0.0,0.2344828,0.0,0.2344828,0.0,0.0,0.0,0.3517241,0.0,0.2660099,0.0,0.0,0.2660099,0.0,0.1172414,0.3017241,0.0,0.3017241,0.0,0.0,0.1005747,0.0,0.0,0.0727969,0.1422414,0.0,0.0,0.1422414,0.0,0.1172414,0.3517241,0.183908,0.2844828,0.183908,0.4689655,0.0
0.4670126,0.5263158,0.6022556,0.3078947,0.4695562,0.1885965,0.4956938,0.1578947,0.1471292,0.0,0.3101504,0.3552632,0.0977444,0.3484574,0.9473684,0.0,0.1671827,0.1789474,0.0,0.1789474,0.3684211,0.0763158,0.1240602,0.0717703,0.2591093,0.2385965,0.0,0.1526316,0.194332,0.2039474,0.2039474,0.0,0.245614,0.2664474,0.0,0.3052632,0.1954887,0.1096491,0.4078947,0.1526316,0.1096491,0.0977444,0.388664,0.3052632,0.1263158,0.2192982,0.2932331,0.0977444,0.0,0.0,0.4912281,0.1526316,0.4912281,0.0,0.1954887,0.1637427,0.0,0.0977444,0.245614,0.0977444,0.3909774,0.1513158,0.0,0.1954887,0.0,0.1263158,0.0,0.2526316,0.0,0.1263158,0.0,0.1263158,0.0,0.1954887,0.0,0.1263158,0.1954887,0.0,0.1263158,0.0,0.0,0.2192982,0.0,0.0,0.0,0.3909774,0.0,0.1637427,0.0,0.0,0.0,0.0,0.0,0.0,0.1263158,0.0,0.0,0.0,0.2526316,0.0
0.3896714,0.3530702,0.4392857,0.0666667,0.4632353,0.0,0.4568182,0.0679825,0.3219697,0.0,0.0,0.0,0.0,0.2356322,0.0,0.9166667,0.0,0.375,0.0,0.075,0.2039474,0.275,0.2321429,0.1742424,0.0,0.075,0.0,0.0916667,0.1602564,0.25,0.1666667,0.0,0.1944444,0.2083333,0.0,0.1833333,0.2261905,0.25,0.0,0.275,0.125,0.2261905,0.1602564,0.0916667,0.1416667,0.0,0.1130952,0.1130952,0.125,0.0,0.0,0.0916667,0.0,0.1416667,0.0,0.0,0.0,0.2261905,0.0,0.1130952,0.1130952,0.1666667,0.0,0.0,0.0,0.2833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1130952,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0972222,0.1666667,0.0,0.0,0.1666667,0.0,0.2833333,0.1416667,0.4166667,0.0,0.0,0.1416667,0.0
0.5103563,0.4582043,0.4752101,0.1632353,0.2745098,0.8039216,0.4620321,0.2229102,0.052139,0.0,0.2605042,0.1838235,0.0,0.4665314,0.1671827,0.0,0.9411765,0.2509804,0.1960784,0.1254902,0.3343653,0.0794118,0.1302521,0.0,0.2714932,0.2509804,0.0,0.0794118,0.2036199,0.1421569,0.2132353,0.1294118,0.0849673,0.0919118,0.0,0.1588235,0.0,0.0,0.1421569,0.0794118,0.0,0.1008403,0.0678733,0.0,0.1294118,0.1127451,0.2016807,0.0,0.0,0.1544118,0.0849673,0.1588235,0.254902,0.0,0.1008403,0.1699346,0.0,0.0,0.3398693,0.0,0.1008403,0.0,0.0,0.1008403,0.0,0.0,0.0,0.0,0.0,0.0,0.1127451,0.2588235,0.0,0.1008403,0.0,0.0,0.1008403,0.2794118,0.0,0.2254902,0.0,0.1127451,0.0,0.0,0.0,0.0,0.0,0.0849673,0.0,0.0,0.0,0.1544118,0.0,0.0,0.1294118,0.0,0.1544118,0.0,0.1294118,0.1544118
0.5248826,0.3368421,0.5666667,0.4083333,0.4745098,0.2166667,0.5515152,0.3578947,0.1121212,0.0,0.0,0.0,0.0,0.354023,0.1789474,0.375,0.2509804,0.9333333,0.0,0.2666667,0.2385965,0.0833333,0.2761905,0.0,0.0717949,0.2666667,0.0,0.1666667,0.0717949,0.45,0.075,0.0,0.2666667,0.1916667,0.0,0.1666667,0.2095238,0.1166667,0.225,0.1666667,0.0,0.2095238,0.0,0.0833333,0.1333333,0.2333333,0.2095238,0.2095238,0.1166667,0.0,0.0888889,0.4166667,0.0888889,0.1333333,0.2095238,0.2666667,0.0,0.3142857,0.2666667,0.1047619,0.1047619,0.1583333,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.2333333,0.0,0.0,0.2095238,0.0,0.0,0.2095238,0.0,0.0,0.2333333,0.0,0.2333333,0.0,0.0,0.1166667,0.0,0.0,0.0,0.0,0.0,0.0,0.1583333,0.0,0.0,0.2666667,0.2,0.0,0.0,0.4,0.0
0.1737089,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.2380952,0.0,0.0,0.0,0.1960784,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4441315,0.5052632,0.4452381,0.4083333,0.4313725,0.1083333,0.3818182,0.5964912,0.0,0.0,0.1380952,0.0958333,0.1047619,0.3034483,0.1789474,0.075,0.1254902,0.2666667,0.0,0.9333333,0.1789474,0.0,0.2761905,0.0,0.0717949,0.0,0.0,0.6666667,0.1435897,0.075,0.525,0.0,0.2666667,0.1916667,0.0,0.1666667,0.4190476,0.1166667,0.3,0.0833333,0.1166667,0.3142857,0.0717949,0.4166667,0.2666667,0.35,0.2095238,0.1047619,0.1166667,0.0,0.2666667,0.0833333,0.0888889,0.1333333,0.5238095,0.1777778,0.0,0.2095238,0.0,0.1047619,0.2095238,0.3166667,0.0,0.5238095,0.0,0.4,0.0,0.1333333,0.0,0.0,0.0,0.1333333,0.0,0.6285714,0.0,0.0,0.1047619,0.0,0.5333333,0.2333333,0.0,0.1166667,0.0,0.0,0.2333333,0.1047619,0.0,0.2666667,0.1583333,0.0,0.0,0.0,0.0,0.0,0.2666667,0.2,0.0,0.0,0.5333333,0.0
