女大学生,英国首相,4岁男童,马斯克,搜查,约翰逊,被压,选出,妇联,获赔,我不是药神,宣判,秋天,局长,生下,一审,判罚,主犯,判处死刑,先辈,双胞胎,调剂,诗人,抗日战争,被判,侵华,男友,突击,自述,洗钱,传言,侵权,车祸
0.0,0.0,0.9849961,0.0,0.0,0.0,0.9828498,0.0,0.0,0.0,0.0,0.0,0.0094897,0.9957265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034881,0.2628205
0.0,0.0,0.0,0.9844954,0.0,0.0,0.0,0.0,0.0039216,0.0,0.0043193,0.0,0.0,0.0,0.9960784,0.0,0.0047386,0.0,0.0,0.0,0.8981217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033121,0.0
0.6759454,0.0033563,0.0,0.0,0.0,0.0049328,0.0,0.0,0.0,0.1905114,0.0893018,0.8337585,0.0,0.0,0.0,0.9965986,0.0985261,0.2830688,0.6558442,0.0,0.0,0.0,0.0,0.0,0.4639668,0.0,0.4336735,0.0,0.0,0.0,0.0,0.1739658,0.0
0.0080065,0.0,0.0,0.0047083,0.0,0.0,0.0,0.0,0.0,0.0,0.9091195,0.0050099,0.0,0.0,0.0047386,0.0985261,0.9944444,0.0212963,0.0073232,0.0,0.0051142,0.0,0.0,0.0,0.0270833,0.0,0.0061791,0.0,0.0,0.0,0.0,0.7308559,0.0
0.5133442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3942626,0.0,0.0,0.0,0.2830688,0.0212963,0.962963,0.2537037,0.0,0.0,0.0,0.0,0.0,0.4861111,0.0,0.1095994,0.0,0.0,0.0,0.0,0.0,0.0
0.629033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6913149,0.0,0.0,0.0,0.6558442,0.0073232,0.2537037,0.9909091,0.0,0.0,0.0,0.0,0.0,0.3140783,0.0,0.127149,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0163615,0.0,0.0,0.0,0.0154716,0.0,0.021035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9088605,0.0,0.0,0.0,0.0,0.0,0.0,0.0046949,0.0,0.0,0.0,0.8981217,0.0,0.0051142,0.0,0.0,0.0,0.9953271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036878,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3250774,0.0,0.0,0.0074953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9894737,0.0,0.0,0.0,0.2772646,0.0,0.5486842,0.0,0.0,0.0,0.0
